day,stage,host,color,time,artist,end
Friday,MAINSTAGE,DV8,#E53935,15:00,PAT B & RUTHLESS PRES. FREESTYLE MADNESS,17:00
Friday,MAINSTAGE,DV8,#E53935,17:00,ECSTATIC PRES. THE ESSENCE,18:00
Friday,MAINSTAGE,DV8,#E53935,18:00,SOUND RUSH,19:00
Friday,MAINSTAGE,DV8,#E53935,19:00,ADARO,20:00
Friday,MAINSTAGE,DV8,#E53935,20:00,WARFACE,21:00
Friday,MAINSTAGE,DV8,#E53935,21:00,ROOLER,22:00
Friday,MAINSTAGE,DV8,#E53935,22:00,PHUTURE NOIZE [LIVE],22:45
Friday,MAINSTAGE,DV8,#E53935,22:45,D-BLOCK & S-TE-FAN,23:30
Friday,MAINSTAGE,DV8,#E53935,23:30,DUAL DAMAGE,00:15
Friday,MAINSTAGE,DV8,#E53935,00:15,PAUL ELSTAK & DYEN [CLOSING SESSION],01:00
Saturday,MAINSTAGE,DV8,#E53935,13:00,GECK-O PRES. NATURE'S RHYTHM,14:30
Saturday,MAINSTAGE,DV8,#E53935,14:30,D-CHARGED & SERZO,16:00
Saturday,MAINSTAGE,DV8,#E53935,16:00,GALACTIXX,17:00
Saturday,MAINSTAGE,DV8,#E53935,17:00,FRONTLINER PRES. THE MELODYMAN,18:00
Saturday,MAINSTAGE,DV8,#E53935,18:00,NOISECONTROLLERS: 20 YEARS,19:00
Saturday,MAINSTAGE,DV8,#E53935,19:00,ICONS,19:15
Saturday,MAINSTAGE,DV8,#E53935,19:15,B-FRONT,20:15
Saturday,MAINSTAGE,DV8,#E53935,20:15,VERTILE,21:00
Saturday,MAINSTAGE,DV8,#E53935,21:00,BRENNAN HEART,22:00
Saturday,MAINSTAGE,DV8,#E53935,22:00,REBELION [LIVE],22:50
Saturday,MAINSTAGE,DV8,#E53935,22:50,D-STURB PRES. UNIVERSE [LIVE],23:20
Saturday,MAINSTAGE,DV8,#E53935,23:20,GUNZ FORE HIRE: 15 YEARS [LIVE],00:00
