day,stage,host,color,time,artist,end
Thursday,BLACK,Da Mouth of Madness,#7F7F7F,18:00,Miss K8,
Thursday,BLACK,Da Mouth of Madness,#7F7F7F,19:00,Evil Activities,
Thursday,BLACK,Da Mouth of Madness,#7F7F7F,20:00,Anime,
Thursday,BLACK,Da Mouth of Madness,#7F7F7F,21:00,Gezellige Uptempo,
Thursday,BLACK,Da Mouth of Madness,#7F7F7F,21:45,Noxiouz,
Thursday,BLACK,Da Mouth of Madness,#7F7F7F,22:30,The Spotlight with Hysta,23:00
Thursday,INDIGO,Synergy & Flo,#323BC5,18:00,Cryex,
Thursday,INDIGO,Synergy & Flo,#323BC5,18:45,Deluzion,
Thursday,INDIGO,Synergy & Flo,#323BC5,19:30,Rejecta,
Thursday,INDIGO,Synergy & Flo,#323BC5,20:15,Mutilator & Adjuzt,
Thursday,INDIGO,Synergy & Flo,#323BC5,21:15,Faceless & Sanctuary & Dark Entities,
Thursday,INDIGO,Synergy & Flo,#323BC5,22:00,Spitnoise & Unlocked,23:00
Thursday,MAGENTA [Silent],Synergy,#FE0089,18:00,Andy Svge,
Thursday,MAGENTA [Silent],Synergy,#FE0089,19:30,Larstig & Gasdrop,
Thursday,MAGENTA [Silent],Synergy,#FE0089,21:00,Dr. Rude "Jump Classics",
Thursday,MAGENTA [Silent],Synergy,#FE0089,22:15,Act of Rage & Adrenalize,
Thursday,MAGENTA [Silent],Synergy,#FE0089,23:15,Deepack,
Thursday,MAGENTA [Silent],Synergy,#FE0089,00:30,Goldschool with Friends,02:00
Thursday,BLUE,Villain,#09D6EA,18:00,D-Sturb,
Thursday,BLUE,Villain,#09D6EA,19:00,DJ Isaac,
Thursday,BLUE,Villain,#09D6EA,20:00,Coone,
Thursday,BLUE,Villain,#09D6EA,21:00,Ran-D & Adaro,
Thursday,BLUE,Villain,#09D6EA,21:50,D-Block & S-te-Fan,22:55
Thursday,BROWN [Silent],,#925E37,18:00,Ransom,
Thursday,BROWN [Silent],,#925E37,19:30,Ricardo Moreno,
Thursday,BROWN [Silent],,#925E37,21:00,Plug 'n Play,
Thursday,BROWN [Silent],,#925E37,22:00,The Raver,23:00
Thursday,STAMPKROEG,,#DF4C39,18:00,CRO & Steenwolk,
Thursday,STAMPKROEG,,#DF4C39,19:30,Runescape Rave,
Thursday,STAMPKROEG,,#DF4C39,21:00,Peygan,22:00
Thursday,STAMPKROEG,,#DF4C39,23:00,Wheel of Madness,
Thursday,STAMPKROEG,,#DF4C39,23:45,No feest. No glory: Alaafrobros,
Thursday,STAMPKROEG,,#DF4C39,00:30,Freddy Chaserz,
Thursday,STAMPKROEG,,#DF4C39,01:15,Wasted Melodies: Special Krew,02:00
Thursday,U.V.,,#D190FC,22:55,The Tribute,23:00
Friday,RED,Villain & DV8,#EF0000,13:00,The Opening Ceremony with Outsiders,
Friday,RED,Villain & DV8,#EF0000,14:00,Jay Reeve & Ecstatic ft Synergy,
Friday,RED,Villain & DV8,#EF0000,15:00,The Purge & Mandy,
Friday,RED,Villain & DV8,#EF0000,16:00,«All on Red» The Straikerz,
Friday,RED,Villain & DV8,#EF0000,16:30,Da Tweekaz,
Friday,RED,Villain & DV8,#EF0000,17:15,Rejecta & Adaro,
Friday,RED,Villain & DV8,#EF0000,18:00,Redrace Winner,
Friday,RED,Villain & DV8,#EF0000,18:30,Warface x Restricted,
Friday,RED,Villain & DV8,#EF0000,19:15,Darren Styles,
Friday,RED,Villain & DV8,#EF0000,20:00,Sound Rush,
Friday,RED,Villain & DV8,#EF0000,20:45,Sub Zero Project,
Friday,RED,Villain & DV8,#EF0000,21:45,Sickmode,
Friday,RED,Villain & DV8,#EF0000,22:20,The Spotlight: Brennan Heart,23:00
Friday,BLACK,Nolz & Robs,#7F7F7F,11:15,Noiseflow & Cyber Gunz & Schlot presents: The Great Krach Show,
Friday,BLACK,Nolz & Robs,#7F7F7F,12:30,Restrained,
Friday,BLACK,Nolz & Robs,#7F7F7F,13:30,Namara,
Friday,BLACK,Nolz & Robs,#7F7F7F,14:45,Tha Playah & Never Surrender,
Friday,BLACK,Nolz & Robs,#7F7F7F,16:00,EZG - Maximaal!,
Friday,BLACK,Nolz & Robs,#7F7F7F,16:30,Bulletproof,
Friday,BLACK,Nolz & Robs,#7F7F7F,17:30,Angerfist,
Friday,BLACK,Nolz & Robs,#7F7F7F,18:30,Dr. Peacock,
Friday,BLACK,Nolz & Robs,#7F7F7F,19:30,Partyraiser,
Friday,BLACK,Nolz & Robs,#7F7F7F,20:30,Slaughterhouse,
Friday,BLACK,Nolz & Robs,#7F7F7F,21:15,Noiseflow,
Friday,BLACK,Nolz & Robs,#7F7F7F,22:15,Rosbeek & Manifest Destiny,23:00
Friday,BLUE NIGHT,,#09D6EA,23:30,Encore with Rebelion,01:00
Friday,BLUE,Livid,#09D6EA,11:00,Chain Reaction & Luna 'The Classic Journey',
Friday,BLUE,Livid,#09D6EA,12:15,Kronos: Choose Your Era,
Friday,BLUE,Livid,#09D6EA,13:15,Digital Punk,
Friday,BLUE,Livid,#09D6EA,14:00,B-Frontliner,
Friday,BLUE,Livid,#09D6EA,14:30,E-Force & Wolv,
Friday,BLUE,Livid,#09D6EA,15:30,Devin Wild: Among the Noise,
Friday,BLUE,Livid,#09D6EA,16:00,Holy Priest,
Friday,BLUE,Livid,#09D6EA,16:45,"End of Line: Cryex, Bloodlust & Omnya",
Friday,BLUE,Livid,#09D6EA,17:45,The Saints,
Friday,BLUE,Livid,#09D6EA,18:45,Aversion,
Friday,BLUE,Livid,#09D6EA,19:30,Mutilator,
Friday,BLUE,Livid,#09D6EA,20:15,Radical Redemption: The Return to the Tribe,
Friday,BLUE,Livid,#09D6EA,21:15,Unresolved,22:00
Friday,U.V.,DL & Synergy,#D190FC,11:30,This Is Sefa,
Friday,U.V.,DL & Synergy,#D190FC,12:30,Anamorphic,
