day,stage,host,color,time,artist,end
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,13:00,Luna FREESTYLE SET,14:30
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,14:30,Predator,15:30
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,15:30,Karun MIRAGE,16:00
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,16:00,Evil Activities vs. Mad Dog,17:00
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,17:00,Nosferatu & Tha Playah COMBINED FORCES,17:30
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,17:30,Korsakoff vs. Sakyra,18:15
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,18:15,Catscan vs. Chaos Project,19:00
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,19:00,Never Surrender,19:45
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,19:45,Angerfist CLASSICS,20:30
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,20:30,D-Fence vs. Hysta,21:15
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,21:15,SLAUGHTERHOUSE,21:45
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,21:45,Revealer THE ANGER IN US,22:15
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,22:15,Noxiouz THE CATALYST,22:45
Friday,The Dockyard by Masters of Hardcore,Tha Watcher,#264653,22:45,THE SPECTACLE by MOH,23:00
Friday,The Zoo by BKJN,MC Robs,#7CB518,13:00,KEMAL vs. Rayzen,13:45
Friday,The Zoo by BKJN,MC Robs,#7CB518,13:45,Brainkick vs. Kroefoe,14:45
Friday,The Zoo by BKJN,MC Robs,#7CB518,14:45,Dr.Z vs. Guizcore,15:30
Friday,The Zoo by BKJN,MC Robs,#7CB518,15:30,MC Robs LIVE,16:00
Friday,The Zoo by BKJN,MC Robs,#7CB518,16:00,Chaotic Hostility vs. Vandal!sm EARLY UPTEMPO,17:00
Friday,The Zoo by BKJN,MC Robs,#7CB518,17:00,Rosbeek vs. Soulblast,18:00
Friday,The Zoo by BKJN,MC Robs,#7CB518,18:00,Pinotello NO PINO NO PARTY,18:30
Friday,The Zoo by BKJN,MC Robs,#7CB518,18:30,The Dope Doctor,19:15
Friday,The Zoo by BKJN,MC Robs,#7CB518,19:15,Lekkerfaces HYPER,19:45
Friday,The Zoo by BKJN,MC Robs,#7CB518,19:45,Dimitri K,20:30
Friday,The Zoo by BKJN,MC Robs,#7CB518,20:30,Yoshiko INSOLENT,21:00
Friday,The Zoo by BKJN,MC Robs,#7CB518,21:00,Major Conspiracy vs. Satirized,22:00
Friday,The Highway by Multigroove,Mike Redman,#6D597A,13:00,Noxa,14:30
Friday,The Highway by Multigroove,Mike Redman,#6D597A,14:30,The Viper,15:30
Friday,The Highway by Multigroove,Mike Redman,#6D597A,15:30,The Darkraver vs. Vince,17:00
Friday,The Highway by Multigroove,Mike Redman,#6D597A,17:00,Promo vs. Ruffneck,18:30
Friday,The Highway by Multigroove,Mike Redman,#6D597A,18:30,Arjuna,19:30
Friday,The Highway by Multigroove,Mike Redman,#6D597A,19:30,Hellcreator vs. MESSI4H,20:30
Friday,The Highway by Multigroove,Mike Redman,#6D597A,20:30,Drokz GABBER SET,21:30
Friday,The Highway by Multigroove,Mike Redman,#6D597A,21:30,Unexist,23:00
Friday,The Arcade by Masia,Me Das Mucho Amor,#00B4D8,15:00,Graco-B vs. Maka AGGRESSIVE SET,15:45
Friday,The Arcade by Masia,Me Das Mucho Amor,#00B4D8,15:45,Bassdrum Project CLASSIC SET,16:30
Friday,The Arcade by Masia,Me Das Mucho Amor,#00B4D8,16:30,Ogalla,17:15
Friday,The Arcade by Masia,Me Das Mucho Amor,#00B4D8,17:15,Papero,18:00
Friday,The Arcade by Masia,Me Das Mucho Amor,#00B4D8,18:00,Aleix vs. Balas,19:00
Friday,The Arcade by Masia,Me Das Mucho Amor,#00B4D8,19:00,Hermanos Kapiya,20:00
Friday,The Arcade by Masia,Me Das Mucho Amor,#00B4D8,20:00,Dr. Evil,21:00
Friday,The Arcade by Masia,Me Das Mucho Amor,#00B4D8,21:00,Wakan THIS IS SPANISH NEWSTYLE,22:00
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,15:00,Welcome to Krachinator,15:15
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,15:15,vANE BASS DEVASTATION,15:45
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,15:45,PEYGAN vs. Schlot,16:15
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,16:15,Krach Crew NOISEFLOW vs. RWF vs. Schlot vs. vANE,16:45
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,16:45,Opgekonkerd & Unicorn on K RAINBOW COLORS,17:15
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,17:15,Krachinator LIVE KRACH CREW,17:45
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,17:45,Noiseflow EUPHORIC KRACH LIVE,18:15
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,18:15,Cyber Gunz CYBER WAR,18:45
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,18:45,Unicorn on K,19:15
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,19:15,RefleXx X'PLOSION,19:40
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,19:40,ALBINO BALD SHOW,20:00
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,20:00,MBK vs. NSD CLASSICS,20:30
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,20:30,Equal2 vs. Invaderz,21:00
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,21:00,Kior vs. Luvvtige,21:30
Friday,The Firestation by Deutscher Krach,Serra,#E85D04,21:30,Acidz & Heinza & RWF ENDLEVEL KRACH,22:00
Friday,The Zoo by Gezellige Clubtempo,Tha Watcher,#7CB518,23:00,Panic vs. The Darkraver,00:00
