day,stage,host,color,time,artist,end
Friday,Mainstage,Villain,#FFD200,17:00,The Opening Ceremony,
Friday,Mainstage,Villain,#FFD200,17:15,D-Block & S-te-Fan,
Friday,Mainstage,Villain,#FFD200,18:15,Da Tweekaz,
Friday,Mainstage,Villain,#FFD200,19:00,Aversion vs Phuture Noize,
Friday,Mainstage,Villain,#FFD200,19:45,Rejecta - Patient Zero,
Friday,Mainstage,Villain,#FFD200,20:15,Rebelion,
Friday,Mainstage,Villain,#FFD200,21:00,Dual Damage vs Rooler,
Friday,Mainstage,Villain,#FFD200,22:00,AWAKE ASLEEP AdJuzT,
Friday,Mainstage,Villain,#FFD200,22:30,Sickmode,
Friday,Mainstage,Villain,#FFD200,23:15,Radical Redemption vs Kruelty LIVE,00:00
Friday,Dynamite,MC Robs,#A9A9A9,14:00,Dimma vs MT vs T.M.O.,
Friday,Dynamite,MC Robs,#A9A9A9,15:00,Revealer vs Udow,
Friday,Dynamite,MC Robs,#A9A9A9,16:00,Kemal vs Missy,
Friday,Dynamite,MC Robs,#A9A9A9,16:45,Abaddon vs Revellers vs Rosbeek,
Friday,Dynamite,MC Robs,#A9A9A9,17:45,Spitnoise - The Ultimate Mashup,
Friday,Dynamite,MC Robs,#A9A9A9,18:45,Akimbo - Game Over,
Friday,Dynamite,MC Robs,#A9A9A9,19:15,Soulblast vs The Dope Doctor,
Friday,Dynamite,MC Robs,#A9A9A9,20:15,Major Conspiracy,
Friday,Dynamite,MC Robs,#A9A9A9,21:15,Gezellige Uptempo vs Kili,
Friday,Dynamite,MC Robs,#A9A9A9,22:00,Dimitri K vs Satirized,
Friday,Dynamite,MC Robs,#A9A9A9,23:00,Invaderz,23:45
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,14:00,Disaster vs Suspect,
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,14:45,Coldax vs Unique,
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,15:45,The Straikerz - Journey,
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,16:30,Revelation vs Unload,
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,17:30,The Straikerz vs Damaxy vs Detailed,
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,18:30,"Titans Roulette (The Straikerz, Adjuzt, Dual Damage, Fraw, Mutilator, Rooler, Sickmode, Toza)",
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,20:30,The Straikerz vs Noxiouz vs Yoshiko - Slowtempo Special,
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,21:15,Krowdexx - We The Loudest LIVE,
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,21:45,Exproz v The Smiler,
Friday,Fanaticz,The Straikerz Hosting; MC Livid,#C90000,22:45,Bloodlust vs Infliction,23:30
Friday,Revive,MC Da Syndrome,#A78BC5,14:00,Resillience,
Friday,Revive,MC Da Syndrome,#A78BC5,14:45,Bass Chaserz - 15 Years Chasin The Bass,
Friday,Revive,MC Da Syndrome,#A78BC5,15:45,Digital Punk vs Nightcraft,
Friday,Revive,MC Da Syndrome,#A78BC5,16:45,Deluzion,
Friday,Revive,MC Da Syndrome,#A78BC5,17:30,E-Force,
Friday,Revive,MC Da Syndrome,#A78BC5,18:30,Jones vs Jason Payne pres. Timelapse,
Friday,Revive,MC Da Syndrome,#A78BC5,19:30,Adaro vs Wolv,
Friday,Revive,MC Da Syndrome,#A78BC5,20:30,Sub Sonik - My True DNA,
Friday,Revive,MC Da Syndrome,#A78BC5,21:30,Regain - Classics,
Friday,Revive,MC Da Syndrome,#A78BC5,22:15,Unresolved - Journey,
Friday,Revive,MC Da Syndrome,#A78BC5,23:00,Chapter V vs Infirium - Spoontech Legacy,23:45
Friday,Boombox,MC Barricade,#8FC600,14:00,Misfits,
Friday,Boombox,MC Barricade,#8FC600,15:00,Infearus,
Friday,Boombox,MC Barricade,#8FC600,16:00,Mistofz vs the Dispatcher,
Friday,Boombox,MC Barricade,#8FC600,17:00,Eclypse vs Twysted,
Friday,Boombox,MC Barricade,#8FC600,18:00,DJ Contest,
Friday,Boombox,MC Barricade,#8FC600,19:00,Dejection,
Friday,Boombox,MC Barricade,#8FC600,20:00,Tob-E,
Friday,Boombox,MC Barricade,#8FC600,21:00,Elevation,
Friday,Boombox,MC Barricade,#8FC600,22:00,NSIDE vs Repeller,23:00
