day,stage,host,color,time,artist,end
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,13:00,Geck-O,14:00
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,14:00,The Pitcher,15:00
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,15:00,Max Enforcer & Jones - Clash of Classics,15:45
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,15:45,Kick Off Ceremony,15:50
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,15:50,Wildstylez,16:45
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,16:45,Audiofreq & Code Black & Toneshifterz - Aussie Classics,17:45
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,17:45,Coone,18:45
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,18:45,Noisecontrollers - LIVE,19:15
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,19:15,Bass Modulators - REWIND,19:45
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,19:45,Sound Rush,20:45
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,20:45,Adrenalize - All The Memories,21:15
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,21:15,D-Block & S-Te-Fan,22:15
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,22:15,Adaro - The Haunter of the Dark,22:50
Saturday,Mainstage | CLASSICS ARENA,MC Da Syndrome,#20637D,22:50,Endshow,23:00
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,13:00,The Beholder,14:00
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,14:00,Degos & Re-Done,15:00
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,15:00,Deetox & Jason Payne,16:00
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,16:00,Chain Reaction & Luna,17:00
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,17:00,Bass Chaserz - Return of the Renegades,18:00
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,18:00,B-Front & Titan,19:00
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,19:00,Crypsis - LIVE,19:30
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,19:30,Hard Driver - No Sleep,20:30
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,20:30,Digital Punk & Sub Sonik,21:30
Saturday,Raw Classics | VWAB FANZONE,MC Nolz,#F14374,21:30,E-Force & Unresolved,22:30
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,13:00,Royal S,14:00
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,14:00,Low-E & Alter Egosz,15:00
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,15:00,Josh & Wesz,16:00
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,16:00,Demi Kanon,17:00
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,17:00,Audiotricz,18:00
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,18:00,Wasted Penguinz,19:00
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,19:00,Atmozfears,20:00
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,20:00,Frontliner,21:00
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,21:00,Psyko Punkz,22:00
Saturday,Euforische Stage | VICTORY VILLAGE,MC Renegade,#F59E0B,22:00,Tatanka,23:00
Saturday,Hosting | THE MAGIC SHOW,MC Shizzler,#00A896,13:00,San Miquel & Tim Dawes,14:00
Saturday,Hosting | THE MAGIC SHOW,MC Shizzler,#00A896,14:00,Submotion,15:00
Saturday,Hosting | THE MAGIC SHOW,MC Shizzler,#00A896,15:00,Juized & Zero Sanity,16:30
